DATE,VISITING TEAM,HOME TEAM,TIME
"SAT NOV 16, 2013",CAROLINA,ST. LOUIS,8:00 PM ET
,,,
"SAT NOV 16, 2013",CHICAGO,NASHVILLE,8:00 PM ET
,,,
"SAT NOV 16, 2013",TAMPA BAY,PHOENIX,8:00 PM ET
,,,
"SAT NOV 16, 2013",FLORIDA,COLORADO,9:00 PM ET
,,,
"SAT NOV 16, 2013",EDMONTON,CALGARY,10:00 PM ET
,,,
"SUN NOV 17, 2013",COLUMBUS,OTTAWA,1:00 PM ET
,,,
"SUN NOV 17, 2013",ST. LOUIS,WASHINGTON,6:00 PM ET
,,,
"SUN NOV 17, 2013",LOS ANGELES,NY RANGERS,7:00 PM ET
,,,
"SUN NOV 17, 2013",SAN JOSE,CHICAGO,7:00 PM ET
,,,
"SUN NOV 17, 2013",WINNIPEG,MINNESOTA,8:00 PM ET
,,,
"SUN NOV 17, 2013",DALLAS,VANCOUVER,8:00 PM ET
,,,
"MON NOV 18, 2013",BOSTON,CAROLINA,7:00 PM ET
,,,
"MON NOV 18, 2013",ANAHEIM,PITTSBURGH,7:30 PM ET
,,,
"MON NOV 18, 2013",CALGARY,WINNIPEG,8:00 PM ET
,,,
"TUE NOV 19, 2013",ST. LOUIS,BUFFALO,7:00 PM ET
,,,
"TUE NOV 19, 2013",NY ISLANDERS,TORONTO,7:00 PM ET
,,,
"TUE NOV 19, 2013",OTTAWA,PHILADELPHIA,7:00 PM ET
,,,
"TUE NOV 19, 2013",MINNESOTA,MONTREAL,7:30 PM ET
,,,
"TUE NOV 19, 2013",NASHVILLE,DETROIT,7:30 PM ET
,,,
"TUE NOV 19, 2013",BOSTON,NY RANGERS,7:30 PM ET
,,,
"TUE NOV 19, 2013",CHICAGO,COLORADO,9:00 PM ET
,,,
"TUE NOV 19, 2013",COLUMBUS,EDMONTON,9:30 PM ET
,,,
"TUE NOV 19, 2013",FLORIDA,VANCOUVER,10:00 PM ET
,,,
"TUE NOV 19, 2013",TAMPA BAY,LOS ANGELES,10:30 PM ET
,,,
"WED NOV 20, 2013",MINNESOTA,OTTAWA,7:30 PM ET
,,,
"WED NOV 20, 2013",PITTSBURGH,WASHINGTON,8:00 PM ET
,,,
"WED NOV 20, 2013",COLUMBUS,CALGARY,10:00 PM ET
,,,
"WED NOV 20, 2013",NEW JERSEY,ANAHEIM,10:00 PM ET
,,,
"THU NOV 21, 2013",ST. LOUIS,BOSTON,7:00 PM ET
,,,
"THU NOV 21, 2013",NASHVILLE,TORONTO,7:00 PM ET
,,,
"THU NOV 21, 2013",BUFFALO,PHILADELPHIA,7:00 PM ET
,,,
"THU NOV 21, 2013",CAROLINA,DETROIT,7:30 PM ET
,,,
